tweet_id,text
1018219287817797632,"Just a #reminder we are #celebrating the #upcoming @Predator #movie with our #predator week series. #Listen to all… https://t.co/wkCfw1rU3A"
1018219739464822784,"Sketch rápido antes de salir #sketch #sketchbook #drawing #pencildrawing #dibujo #hobby #DCComics #DC #comics… https://t.co/xMPrcwBVM0"
1018220294065086464,"RT @Readwhenstoned: A cleansing moment of clarity. When stoned#readwhenstoned #cannabiscommunity #indica #hybrid #sativa #marijuana #can…"
1018220442933518336,"RT @Readwhenstoned: A cleansing moment of clarity. When stoned#readwhenstoned #cannabiscommunity #indica #hybrid #sativa #marijuana #can…"
1018221098293518337,"Mens Chess Move with a Purpose T-Shirt Small Black https://t.co/qUa6RoB1Gm #Chess #chessplayer #geekstuff #nerd… https://t.co/nPDjRg2qkW"
1018222121636413440,"RT @LVDigitalMedia: Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic @y_o_s_2_…"
1018222216872415233,"Going live t-minus 5!! Watch at https://t.co/2WGrNCDSnV or on #twitch and #youtube! Sponsored by @Twisted420Glass!!… https://t.co/tjg0jiq40Q"
1018222637468868608,"A caterpillar printed in Red on my JGAURORA A5 3D Printer.  Amazing print quality. #jgauroraa5 #jgaurora… https://t.co/S7x2nX2X6T"
1018222801277390848,"Tantos cursos na fila de estudo! Difícil é saber priorizar pq tem a vontade mas tb tem a necessidade.   … https://t.co/XpoabGRCyg"
1018222841261711360,"RT @CheezandCrackrs: Going live t-minus 5!! Watch at https://t.co/2WGrNCDSnV or on #twitch and #youtube! Sponsored by @Twisted420Glass!! St…"
1018222885968711680,"RT @gwailowx: OmegaLupus just needs some details done and then it’s paint! # # #gunpla #gundam #anime #toyphotography #plamo #band…"
1018223576800006151,"About to get my #STATA game on for the first time in three months and YA GIRL IS STOKED #nerd #nerdalert… https://t.co/khS5RsLWtE"
1018223932451835905,"Le seratine nerd quelle belle. ...#darksouls #boardgame #souls #darksoulstheboardgame #nerd #nerding… https://t.co/Ts8MjugD9e"
1018224490335989760,"RT @LVDigitalMedia: Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic @y_o_s_2_…"
1018224817869385729,"#Jaws #JawsUnleashed #Xbox #Sharks #HorrorFans #HorrorFanatics #Beard #BeardGang #Nerd #Gamers https://t.co/i9sWt922PJ"
1018225123684376576,"RT @LVDigitalMedia: Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic @y_o_s_2_…"
1018226707680067592,"Combined forces of House Davion and the Swordsworn. #mechwarrior #mechwarriordarkage #mechwarriorageofdestruction… https://t.co/R8HGsIGZef"
1018226773107073026,"Vídeo novo no canal do YouTube! Tá incrível corre lá!https://t.co/eCkOACuw1T#3DGeekShow #3D #Modelo3D… https://t.co/AUmiZHgBel"
1018227805018968065,"#summerdays #livingmybestlife #bestie #englishspot &amp; #englishrose #ootd #playsuit @hm #tanned #bigthighs #poser… https://t.co/u0O22OVHlD"
1018228034086883328,"Happy #NonBinaryDay to all of our wonderful listeners! We're proud to say our #podcast has an adorable non-binary c… https://t.co/4DUmrpuXKV"
1018228046631845888,"@thesmokinggunsd you still don’t want San Diego Comic Con attendees at your bar next week #geeks #nerd #cosplay… https://t.co/mHsLf2w9r0"
1018230092466675712,"RT @FlintlocksDnD: Happy #NonBinaryDay to all of our wonderful listeners! We're proud to say our #podcast has an adorable non-binary charac…"
1018230233152086016,"Pi's self portrait ( = 3.141592…) #math #pi #mathjoke Original: https://t.co/M3QtXeUDty - nerd comic by… https://t.co/jnPcyvMrMg"
1018230371677188096,"Lingerie everywhere!! #misshatred #tattoo #body #inkedgirl #lingerie #jessicaarmanetti #whitehair #silverhair… https://t.co/ADXIRM3FS3"
1018231764584730630,"RT @MotuMarkus: Combined forces of House Davion and the Swordsworn. #mechwarrior #mechwarriordarkage #mechwarriorageofdestruction #mwda #a…"
1018231807169515521,"When you finally get an awesome LR but it’s on not on your main account #dokkanbattle #dragonball #broly #nerd… https://t.co/8apArQUOrk"
1018231877109452800,"#Math is intimidating. You’re faced with problems whose solution could be one of an infinite amount of numbers. Thi… https://t.co/jZNPBirikd"
1018231902874976256,"RT @LVDigitalMedia: Check out #Nerd Bar #Tonight #DTLV 8pm-4am-#Foundation @SaraKashani @PariaBadd @MickeyTaelor @kayynovamusic @y_o_s_2_…"
1018231998152937472,"My precious.Fresh from the Highlands. #nerd #stats #phdlife https://t.co/UanlaUZHho"
1018232078150918145,"RT @FlintlocksDnD: Happy #NonBinaryDay to all of our wonderful listeners! We're proud to say our #podcast has an adorable non-binary charac…"
