tweet_id,tweet_created_at,language,user_screen_name,user_created_at,user_id,followers_count,friends_count,time_zone,utc_offset,retweeted_status,retweet_id,retweet_user_screen_name,retweet_user_id
1022883393867014146,Fri Jul 27 16:36:20 +0000 2018,en,FrangMcHardy,Fri Jun 22 21:28:27 +0000 2012,615623469,233,232,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022883403329363969,Fri Jul 27 16:36:22 +0000 2018,en,RefVinnieLax,Tue Aug 02 19:41:40 +0000 2011,347424608,719,1074,None,None,0,None,None,None
1022883563077857281,Fri Jul 27 16:37:00 +0000 2018,en,eyyu_01,Wed Jun 29 22:35:17 +0000 2011,326437755,33,253,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022883657831383042,Fri Jul 27 16:37:22 +0000 2018,en,BarelySaneNurse,Fri Jun 30 03:54:51 +0000 2017,880635719177424896,109,88,None,None,0,None,None,None
1022883968012697601,Fri Jul 27 16:38:36 +0000 2018,pt,nerd100nerd,Tue Oct 04 23:49:00 +0000 2016,783453898321305600,92,80,None,None,0,None,None,None
1022884157045714944,Fri Jul 27 16:39:21 +0000 2018,ja,ivorina_ek,Mon Jan 09 19:34:03 +0000 2012,459529212,594,371,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022884203862454272,Fri Jul 27 16:39:33 +0000 2018,ja,toriaezu_gyouza,Fri Oct 12 14:29:17 +0000 2012,875749351,51,70,None,None,0,None,None,None
1022884722689466369,Fri Jul 27 16:41:36 +0000 2018,ja,kxexnxtxa1,Fri Feb 14 14:18:25 +0000 2014,2343648607,55,134,None,None,0,None,None,None
1022884766763216896,Fri Jul 27 16:41:47 +0000 2018,en,RefVinnieLax,Tue Aug 02 19:41:40 +0000 2011,347424608,719,1074,None,None,0,None,None,None
1022886420673785856,Fri Jul 27 16:48:21 +0000 2018,en,AndreaCoventry,Tue May 26 15:31:40 +0000 2009,42647661,8041,3559,None,None,1,1022324481870704640,sabkfox,3813321856
1022886509421256704,Fri Jul 27 16:48:42 +0000 2018,en,TazF_R,Sun Nov 27 16:34:09 +0000 2011,422732287,123,416,None,None,0,None,None,None
1022886521626603520,Fri Jul 27 16:48:45 +0000 2018,en,F1ForSale,Tue Jan 21 03:22:20 +0000 2014,2302410840,921,421,None,None,0,None,None,None
1022886590685827074,Fri Jul 27 16:49:02 +0000 2018,en,pierscorpio,Tue Feb 12 06:25:30 +0000 2013,1171099652,767,435,None,None,0,None,None,None
1022886776766062594,Fri Jul 27 16:49:46 +0000 2018,en,brent_selle,Sat Jun 23 22:49:47 +0000 2018,1010656191360331776,69,192,None,None,0,None,None,None
1022886972447182848,Fri Jul 27 16:50:33 +0000 2018,en,RuinedFilms,Thu Oct 20 04:41:15 +0000 2011,394489550,53,21,None,None,0,None,None,None
1022886977354395648,Fri Jul 27 16:50:34 +0000 2018,tl,hello_m_hamp,Mon Jun 16 21:45:35 +0000 2008,15139060,1088,1777,None,None,0,None,None,None
1022887332737949697,Fri Jul 27 16:51:59 +0000 2018,en,Ian_A_Blakeman,Wed Dec 22 19:24:08 +0000 2010,229576792,127,129,None,None,0,None,None,None
1022887481447014401,Fri Jul 27 16:52:34 +0000 2018,en,ARL_Arts,Mon Apr 12 17:54:50 +0000 2010,132242528,7304,3201,None,None,0,None,None,None
1022887558152253441,Fri Jul 27 16:52:52 +0000 2018,eu,Nickesteen,Fri Jul 10 11:56:32 +0000 2009,55541072,767,1214,None,None,0,None,None,None
1022887838000590849,Fri Jul 27 16:53:59 +0000 2018,en,katheroony,Sat Jul 21 20:19:40 +0000 2012,709518163,193,190,None,None,0,None,None,None
1022888605134544896,Fri Jul 27 16:57:02 +0000 2018,en,NPHozman,Mon Dec 07 21:30:48 +0000 2009,95282937,9740,13216,None,None,0,None,None,None
1022888682846486528,Fri Jul 27 16:57:21 +0000 2018,en,WorldofComicCon,Fri Jun 10 00:21:51 +0000 2016,741062787342819332,460,76,None,None,0,None,None,None
1022886197306306560,Fri Jul 27 16:47:28 +0000 2018,en,NerdProblemGame,Wed Jan 27 00:36:01 +0000 2016,4851637881,4093,3667,None,None,0,None,None,None
1022889344447770624,Fri Jul 27 16:59:58 +0000 2018,en,TorchlightCMH,Fri Dec 01 12:49:24 +0000 2017,936577975172165632,73,164,None,None,0,None,None,None
1022889422319181825,Fri Jul 27 17:00:17 +0000 2018,en,Sugarpanic,Mon Apr 16 20:22:43 +0000 2012,555398575,245,207,None,None,1,1021034555040550912,geekgirltw,886756360125284352
1022890222235803648,Fri Jul 27 17:03:28 +0000 2018,ja,koji_h25,Wed Dec 16 13:00:52 +0000 2009,97203278,664,843,None,None,1,1022852817902391296,fujitv_nexco,109197855
1022890470756823041,Fri Jul 27 17:04:27 +0000 2018,en,AuthorKMitchell,Mon Sep 05 21:22:30 +0000 2016,772907782735486976,739,35,None,None,1,1022875238332125184,ChrisMarieGreen,61065940
1022890526834663424,Fri Jul 27 17:04:40 +0000 2018,en,welldonegoods,Mon Jul 14 20:48:41 +0000 2014,2646320654,70,112,None,None,0,None,None,None
1022890891013513217,Fri Jul 27 17:06:07 +0000 2018,en,FlintlocksDnD,Thu Jun 14 18:29:25 +0000 2018,1007329176167337984,594,1403,None,None,0,None,None,None
1022891001734545408,Fri Jul 27 17:06:33 +0000 2018,und,salazarjose705,Mon May 19 07:18:28 +0000 2014,2506679564,852,2909,None,None,1,1022318021031985152,dridrialencar,876881098663505920
1022891890369282049,Fri Jul 27 17:10:05 +0000 2018,en,SleekDeals,Tue May 03 04:07:50 +0000 2016,727348919315865600,15215,16743,None,None,0,None,None,None
1022892088319459328,Fri Jul 27 17:10:52 +0000 2018,en,saltydogsbot,Wed May 02 03:13:02 +0000 2018,991515881590087680,356,141,None,None,1,1022891890369282049,SleekDeals,727348919315865600
1022892149157847040,Fri Jul 27 17:11:07 +0000 2018,en,SuperDealsite,Tue Dec 27 20:25:08 +0000 2016,813843175416692737,5616,5248,None,None,0,None,None,None
1022892386811305990,Fri Jul 27 17:12:04 +0000 2018,en,MacPhee94,Tue Mar 06 02:14:43 +0000 2012,516092582,74,1149,None,None,0,None,None,None
1022892402393022464,Fri Jul 27 17:12:07 +0000 2018,ja,lemmeseeee,Wed May 27 00:39:25 +0000 2015,3227747095,118,341,None,None,1,1022833681390432256,ryukoofficial,66473858
1022892586334334976,Fri Jul 27 17:12:51 +0000 2018,pt,BimLokko,Tue Aug 16 18:34:05 +0000 2016,765617645064429570,9,87,None,None,1,1022883968012697601,nerd100nerd,783453898321305600
1022892915834716166,Fri Jul 27 17:14:10 +0000 2018,pt,BimLokko,Tue Aug 16 18:34:05 +0000 2016,765617645064429570,9,87,None,None,1,1022873841893339137,nerd100nerd,783453898321305600
1022893016133054470,Fri Jul 27 17:14:34 +0000 2018,pt,BimLokko,Tue Aug 16 18:34:05 +0000 2016,765617645064429570,9,87,None,None,1,1022841606603501568,nerd100nerd,783453898321305600
1022893148060770305,Fri Jul 27 17:15:05 +0000 2018,en,ktothaflip,Thu Jul 01 16:26:13 +0000 2010,161729175,907,466,None,None,0,None,None,None
1022893180054921216,Fri Jul 27 17:15:13 +0000 2018,pt,nerdtatuado,Mon Sep 13 20:57:44 +0000 2010,190392246,1348,1968,None,None,0,None,None,None
1022893663893024768,Fri Jul 27 17:17:08 +0000 2018,en,tinaprice01RRR,Fri May 15 19:14:46 +0000 2009,40310001,477,2725,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022893857200107521,Fri Jul 27 17:17:54 +0000 2018,en,ldlow,Thu Mar 06 18:28:26 +0000 2008,14090532,1823,2149,None,None,0,None,None,None
1022893909129736192,Fri Jul 27 17:18:07 +0000 2018,es,Senhorinos,Thu Sep 24 19:03:42 +0000 2015,3763022295,6385,313,None,None,1,1022259682218532865,MrMrmosh,3195412735
1022894353675689984,Fri Jul 27 17:19:53 +0000 2018,en,PlanetGundam,Sat Nov 11 09:27:41 +0000 2017,929279451418058752,16,33,None,None,0,None,None,None
1022894383065190402,Fri Jul 27 17:20:00 +0000 2018,en,designthinkbot,Sun Aug 16 18:45:40 +0000 2015,3317040702,6626,1,None,None,1,1022892149157847040,SuperDealsite,813843175416692737
1022894430347571200,Fri Jul 27 17:20:11 +0000 2018,en,LWentworth8567,Mon Aug 04 22:58:09 +0000 2014,2707681459,570,790,None,None,0,None,None,None
1022894434843865088,Fri Jul 27 17:20:12 +0000 2018,en,SleekDeals,Tue May 03 04:07:50 +0000 2016,727348919315865600,15215,16743,None,None,0,None,None,None
1022894444364713985,Fri Jul 27 17:20:14 +0000 2018,en,OneYoungsta,Fri Apr 15 16:49:41 +0000 2011,282655900,907,455,None,None,0,None,None,None
1022894621519532032,Fri Jul 27 17:20:56 +0000 2018,en,DunkinOnSports,Mon Oct 27 16:33:05 +0000 2014,2846956768,195,1373,None,None,1,1022894444364713985,OneYoungsta,282655900
1022894767833665536,Fri Jul 27 17:21:31 +0000 2018,en,AFullTangDesign,Thu Nov 12 23:14:10 +0000 2015,4217220738,87,203,None,None,1,1022894444364713985,OneYoungsta,282655900
1022894770664947712,Fri Jul 27 17:21:32 +0000 2018,en,87ead,Sat Jun 30 20:59:31 +0000 2012,623139664,618,1223,None,None,0,None,None,None
1022894921525555200,Fri Jul 27 17:22:08 +0000 2018,en,ThatNERDSoul,Fri Jul 29 07:57:40 +0000 2016,758934502458523649,544,349,None,None,1,1022894444364713985,OneYoungsta,282655900
1022895134571212800,Fri Jul 27 17:22:59 +0000 2018,en,FlintlocksDnD,Thu Jun 14 18:29:25 +0000 2018,1007329176167337984,594,1405,None,None,0,None,None,None
1022895187780087808,Fri Jul 27 17:23:11 +0000 2018,en,KarenDybis,Fri Mar 06 19:31:18 +0000 2009,23106700,3333,1995,None,None,1,1022890526834663424,welldonegoods,2646320654
1022895333704126464,Fri Jul 27 17:23:46 +0000 2018,pt,lojaeanime,Wed Jan 27 16:16:53 +0000 2016,4853942727,225,35,None,None,0,None,None,None
1022896058039496704,Fri Jul 27 17:26:39 +0000 2018,en,ComicStyleGeek,Wed Sep 28 20:46:30 +0000 2016,781233644501209093,60,101,None,None,0,None,None,None
1022896062237949953,Fri Jul 27 17:26:40 +0000 2018,en,UltraBlackone,Sat Sep 05 09:43:26 +0000 2015,3554205136,391,731,None,None,0,None,None,None
1022896580511326208,Fri Jul 27 17:28:43 +0000 2018,en,whiplalish,Wed Jun 20 22:45:06 +0000 2018,1009567846182084608,394,98,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022897018824318976,Fri Jul 27 17:30:28 +0000 2018,en,timberline_int,Thu Jul 13 19:20:51 +0000 2017,885579795442143233,42,257,None,None,0,None,None,None
1022897357505982464,Fri Jul 27 17:31:49 +0000 2018,ja,Tomoya_Nohara,Sun Jan 03 03:24:10 +0000 2016,4700117814,68,258,None,None,0,None,None,None
1022897657495187456,Fri Jul 27 17:33:00 +0000 2018,ja,margarita22311,Thu Aug 07 13:54:03 +0000 2014,2714579508,5,44,None,None,0,None,None,None
1022898496767062016,Fri Jul 27 17:36:20 +0000 2018,en,SubieLuv454,Sat May 28 03:03:09 +0000 2016,736392336851140609,84,423,None,None,1,1022836325802803200,j_accornero,3100076289
1022898605273702400,Fri Jul 27 17:36:46 +0000 2018,ja,TxAxRxU,Mon Feb 01 10:03:51 +0000 2010,110378787,359,1335,None,None,1,1022828486602317825,ryukoofficial,66473858
1022898607261765632,Fri Jul 27 17:36:47 +0000 2018,ja,TxAxRxU,Mon Feb 01 10:03:51 +0000 2010,110378787,359,1335,None,None,1,1022833681390432256,ryukoofficial,66473858
1022898937928151040,Fri Jul 27 17:38:06 +0000 2018,en,TheGeekyRobots,Mon Feb 27 16:21:29 +0000 2017,836249909158367238,104,248,None,None,0,None,None,None
1022899348089303041,Fri Jul 27 17:39:43 +0000 2018,en,Nerd_Junkies,Thu Apr 08 08:29:45 +0000 2010,130778968,2875,6,None,None,0,None,None,None
1022899479580737536,Fri Jul 27 17:40:15 +0000 2018,und,SefferDaHeffer,Thu Jan 28 14:12:13 +0000 2016,4857336335,44,60,None,None,0,None,None,None
1022899768845053952,Fri Jul 27 17:41:24 +0000 2018,en,KayleeZ,Sun Dec 02 23:18:13 +0000 2007,10796352,202,177,None,None,0,None,None,None
1022899806367363072,Fri Jul 27 17:41:33 +0000 2018,en,grumpywho1,Thu May 11 07:52:13 +0000 2017,862576060147408896,367,347,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022900516702117894,Fri Jul 27 17:44:22 +0000 2018,en,ohmybigwhoop3,Wed Jun 06 17:47:42 +0000 2018,1004419574341816320,81,158,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022900713469476867,Fri Jul 27 17:45:09 +0000 2018,en,ARL_Arts,Mon Apr 12 17:54:50 +0000 2010,132242528,7304,3201,None,None,0,None,None,None
1022901263007211520,Fri Jul 27 17:47:20 +0000 2018,en,Voldrega,Tue May 24 02:43:55 +0000 2011,304189053,318,404,None,None,0,None,None,None
1022901873618116608,Fri Jul 27 17:49:45 +0000 2018,pt,F1ForSale,Tue Jan 21 03:22:20 +0000 2014,2302410840,921,421,None,None,0,None,None,None
1022902264254681088,Fri Jul 27 17:51:19 +0000 2018,en,an_else,Wed Jul 04 11:53:27 +0000 2018,1014477286001823750,2,0,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022902909866897408,Fri Jul 27 17:53:52 +0000 2018,ja,jGGjdFIA7sBXy09,Fri Jul 14 06:09:49 +0000 2017,885743113888714754,906,2267,None,None,1,1022747757528793088,TOWER_Sale,71526208
1022903254936690690,Fri Jul 27 17:55:15 +0000 2018,en,NerdProblemGame,Wed Jan 27 00:36:01 +0000 2016,4851637881,4094,3667,None,None,0,None,None,None
1022904124281708544,Fri Jul 27 17:58:42 +0000 2018,en,ViennaHayden,Thu Mar 13 18:27:03 +0000 2014,2387634824,16,97,None,None,0,None,None,None
1022904272495828993,Fri Jul 27 17:59:17 +0000 2018,en,HeartofTARDIS,Sun Sep 20 01:32:30 +0000 2009,75690489,1693,298,None,None,1,1022870158052872193,Skorka_Designs,1920614258
1022904424010788864,Fri Jul 27 17:59:53 +0000 2018,en,knarf567,Sat Mar 28 17:14:58 +0000 2009,27266493,1040,677,None,None,0,None,None,None
1022904479992213504,Fri Jul 27 18:00:07 +0000 2018,en,SleekDeals,Tue May 03 04:07:50 +0000 2016,727348919315865600,15215,16743,None,None,0,None,None,None
1022904595742445570,Fri Jul 27 18:00:34 +0000 2018,en,OhMaliciousMe,Sun Apr 25 02:23:32 +0000 2010,136834622,117,286,None,None,1,1022736979031728128,NWB_Podcast,1020824587112763394
1022904817537167360,Fri Jul 27 18:01:27 +0000 2018,en,itsnotrainy,Wed Jul 25 20:00:52 +0000 2018,1022210091964096512,3,20,None,None,0,None,None,None
